customer_id,plan_type,tenure_days,watch_hours_30d,login_count_30d,days_since_last_login,support_ticket_count,payment_failure_count,monthly_revenue,churn_flag
1,Premium,540,85.5,42,1,0,0,20,0
2,Premium,480,72.0,38,2,1,0,20,0
3,Family,720,95.0,50,1,0,0,30,0
4,Basic,60,5.0,4,20,4,2,10,1
5,Basic,45,2.5,3,25,5,3,10,1
6,Premium,350,65.0,28,3,1,0,20,0
7,Family,600,88.0,45,2,0,0,30,0
8,Basic,120,12.0,10,8,2,1,10,0
9,Basic,35,1.0,2,28,6,2,10,1
10,Premium,400,70.0,35,2,0,0,20,0
11,Premium,80,8.0,6,18,3,1,20,1
12,Family,500,90.0,48,1,0,0,30,0
13,Basic,25,0.5,1,30,5,4,10,1
14,Premium,300,55.0,25,4,1,0,20,0
15,Family,450,82.0,40,2,0,0,30,0
16,Basic,90,15.0,12,6,1,0,10,0
17,Premium,70,6.0,5,22,4,2,20,1
18,Basic,40,3.0,2,27,5,2,10,1
19,Family,650,92.0,46,1,0,0,30,0
20,Premium,520,78.0,39,2,0,0,20,0
